,treatment_id,assay_id,sample_id,area_under_curve
171,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_F_4,2.7658584696598916
172,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_G_10,4.520411298678396
173,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_G_4,-2.7429251364583886
174,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_H_10,-2.285529285513883
175,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_H_4,-4.033329752312608
176,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_A_10,18.052936296051353
177,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_A_4,8.951005534558318
178,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_B_10,9.243708116959708
179,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_B_4,3.202298530325758
180,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_C_10,16.606920592747688
181,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_C_4,12.614667004493867
182,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_D_10,14.951771766590676
183,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_D_4,10.489399080462311
184,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_E_10,1.7257649842164573
185,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_E_4,15.002059024550688
186,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_F_10,11.482582909172217
187,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_F_4,13.37370696097277
188,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_G_10,14.58936058997873
189,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_G_4,14.37033220647557
190,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_H_10,13.360462869602465
191,D36E+HopAM1_Bacterial PAMPs,plate036,plate036_H_4,15.732853203057761
192,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_A_3,0.2242957704315839
193,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_A_9,4.863606638451588
194,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_B_3,2.362804102142644
195,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_B_9,2.920414506955279
196,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_C_3,4.485164246376047
197,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_C_9,2.5033238574589345
198,D36E+HopAO1_Bacterial PAMPs,plate031,plate031_D_3,6.944673470889553
